name,link
"Week 1 : FIFO",WhR0tJ
"Week 1 : SJF",wVKFB2
"Week 1 : Priority",j8fSuC
"Week 3 : Optimal",iJuYjR
"Week 2 : Bankers Algorithm",rNgELi
"Week 4 : FIFO page Replacemet",wpuwtp
"Week 4 : Least Recently Used",jRWXSm
"Week 4 : Optimal Page Replacemet",vVfDbz
"Week 5 : Indexed File Allocation",kvimaM
"Week 5 : Linked File Allocation",kmf42m
"Week 5 : Sequential File Allocation",Kn4i8r
"Week 6 : SCAN",JfukJf
"Week 7 : First Fit",E1lzxn
"Week 7 : Worst Fit",6W0gnR
"Week 7 : Best Fit",zfYCn8
